herb1,herb2,causal_effect
239,659,-0.3947961416164014
286,456,0.3716105727235299
429,427,0.3300928458409193
511,676,0.3002383340005095
522,523,0.5128942279652662
545,544,0.5900936866110997
552,425,0.3202885102130691
563,568,0.3512791158608463
588,589,0.36608932317807696
628,423,0.36967176288684334
637,494,0.42716233752669247
637,638,0.46117122439080666
657,633,0.3316904426534633
692,688,0.4901206443527726
708,705,0.33300132926776094
718,723,0.5578765933769855
792,522,0.4770756638540028
