herb1,herb2,causal_effect
0,35,-0.025933668
0,45,-0.021617452
0,51,-0.025051743
0,171,-0.032712568
0,199,-0.03131459
0,240,0.02127069
0,252,0.02037465
0,272,0.024219891
0,505,0.02324804
0,700,0.029613474
0,747,-0.020975953
0,773,-0.023558121
1,595,0.021575749
2,46,0.027997905
2,183,0.029722271
2,276,0.027042592
2,295,-0.022044608
2,320,-0.024324466
2,392,-0.022166042
2,477,-0.02413548
3,74,0.023713592
3,88,0.020128127
3,90,0.021262577
3,143,-0.024862174
3,300,0.024537357
3,402,-0.02088186
3,421,-0.022535644
3,519,0.02026218
3,619,0.022574512
3,636,-0.02007936
3,674,-0.027111799
3,676,0.020680951
3,691,0.020431468
3,705,-0.024411526
3,773,-0.022549216
4,111,-0.023073634
4,421,0.02595035
4,487,0.021176264
4,582,-0.023432594
5,50,-0.022709375
5,95,0.028351441
5,111,0.023497965
5,205,0.024332037
5,233,-0.020178063
5,238,0.024384094
5,382,-0.021064216
5,427,-0.023869244
5,435,-0.027538786
5,474,0.027500048
5,492,0.020190023
5,509,0.020543428
6,32,-0.028769253
6,35,0.020581339
6,49,0.020683862
6,50,-0.025649616
6,100,0.02110176
6,118,0.028561922
6,333,0.022323292
6,444,-0.027529975
6,601,-0.023837041
6,660,0.02013867
6,671,0.020650854
6,691,-0.020886935
6,696,0.0206723
6,781,-0.028360575
7,208,-0.02555145
7,227,0.020645956
7,311,0.023925392
7,466,0.026823903
8,479,0.021359181
8,497,-0.0236695
8,585,-0.02242816
9,93,-0.021537669
9,104,-0.02177933
9,210,-0.021819543
9,325,-0.027724044
9,334,-0.020008467
9,499,0.020984977
9,507,-0.022208836
10,125,0.021475255
10,310,-0.025417201
10,405,0.024477156
11,312,-0.03258151
11,360,0.02649223
11,363,0.02611522
11,387,0.031073976
11,421,-0.022516921
11,474,-0.02301866
11,482,-0.0216303
11,594,-0.020275839
12,3,0.021011893
12,170,0.02814518
12,271,-0.02432751
12,724,0.021074882
13,397,-0.023583591
14,55,0.023458218
14,58,0.021152226
14,239,0.024634229
14,247,-0.020499408
14,288,0.021178085
14,297,-0.020317419
14,299,-0.022743873
14,306,-0.02284317
14,312,-0.02013048
14,394,0.023094675
14,435,0.022758843
14,659,0.02353869
14,762,-0.02101573
15,78,-0.021606829
15,85,0.020092059
15,138,-0.020744853
15,194,0.022864373
15,285,-0.022735734
15,347,0.021470949
15,401,-0.024254115
15,423,-0.020280223
15,453,0.02444521
15,501,0.022616588
15,600,-0.031594902
15,621,-0.02406694
16,98,-0.021975065
16,147,-0.022388177
16,148,-0.03907604
16,342,0.02213079
16,367,-0.022123976
16,468,0.020894174
16,518,0.028601484
16,582,-0.028433876
17,34,0.021573577
17,57,0.022138268
17,116,0.023222012
17,118,-0.023756355
17,177,-0.021202194
17,264,-0.020992959
17,313,-0.0240464
17,391,-0.02238767
17,468,0.026674313
17,474,-0.022141844
17,515,-0.020179644
17,669,0.02129782
17,724,0.024767725
18,25,0.021732647
18,81,0.02195542
18,118,-0.02227259
18,174,0.020997725
18,245,0.022205595
18,619,-0.023653517
18,625,-0.023889014
19,351,0.021036498
19,430,-0.029441865
19,497,-0.021133283
19,507,0.029345887
19,514,-0.024425538
19,554,-0.02884576
19,674,-0.020520344
19,721,-0.020384923
19,785,0.022342512
20,459,0.025414499
20,470,-0.020775758
20,476,0.024261301
20,514,0.02088218
20,623,-0.023320852
20,638,-0.020253152
20,640,-0.020675125
20,683,0.02233567
20,744,0.020130983
20,804,-0.02125629
21,66,-0.022876667
21,137,0.023847522
21,173,-0.021027919
21,265,0.020479692
21,288,0.021159053
21,423,-0.020273192
21,477,0.021216013
21,492,-0.020419039
21,551,-0.020208478
21,576,-0.021470197
21,621,0.021083618
21,622,0.021154102
21,645,0.02772851
21,788,0.020684116
22,610,-0.02108882
23,7,0.02170747
23,475,-0.024671942
23,558,-0.021667298
23,748,-0.022413263
24,88,0.02254025
24,175,-0.025703335
24,342,0.027945576
24,375,-0.02150128
24,411,-0.024105141
24,567,-0.020870842
24,587,-0.025513362
24,612,-0.022679944
24,679,-0.0280159
24,689,-0.020499336
24,694,-0.021131454
25,34,0.024301913
25,164,0.02222847
25,204,0.02072584
25,253,-0.022466796
25,262,0.022310395
25,268,0.02151269
25,293,-0.02242576
25,349,-0.027263802
25,413,0.028790792
25,480,-0.022781484
25,481,-0.023169452
25,496,0.024030728
25,538,-0.028515812
26,237,0.027619764
26,300,0.023550276
26,479,-0.02217466
26,481,-0.020228503
26,507,-0.0231761
26,563,0.026025912
26,589,0.02162137
27,307,-0.020444697
27,364,-0.02484989
27,470,-0.020772351
27,611,-0.023970854
28,32,0.022990031
28,244,0.022283195
28,251,-0.024238072
28,468,0.026054591
28,571,-0.027833005
28,669,0.022730885
28,710,-0.02264095
28,798,-0.021322543
29,0,-0.021773586
29,60,-0.020360634
29,171,-0.02218446
29,361,-0.020195642
29,440,-0.024823897
29,454,0.023012646
29,470,-0.025385648
29,565,0.020544281
29,575,-0.029511029
29,600,0.023342004
29,676,-0.03045869
29,731,-0.023603575
29,792,-0.02373716
30,145,-0.02083531
30,209,-0.021483198
30,289,0.02340778
30,591,-0.020176595
30,669,-0.020122765
30,711,-0.020084653
30,717,-0.023674361
31,29,-0.023285195
31,161,-0.02100787
31,258,-0.027621955
31,264,-0.022127299
31,598,-0.020865453
31,617,-0.020294392
31,694,-0.02397257
31,714,0.02261397
31,720,0.022981787
31,745,-0.026478473
32,210,-0.020153034
32,237,0.02070304
32,364,0.029633846
32,399,-0.02018947
32,432,-0.020302555
32,638,0.020349115
32,718,-0.020432983
32,763,0.029511346
32,800,-0.025386646
33,144,-0.021091877
33,193,-0.024419686
33,259,0.02220638
33,274,-0.022195222
33,332,0.022418529
33,367,0.022163374
33,435,-0.022247085
33,460,0.024953242
33,486,0.026183825
33,509,0.020751098
33,544,-0.022216544
33,782,0.023626914
34,23,0.020979023
34,94,-0.020218484
34,112,0.023614515
34,208,-0.022011954
34,339,-0.02156376
34,378,0.02252281
34,480,0.020091306
34,499,-0.027067797
34,522,-0.025614252
34,531,0.03005147
34,540,0.021840148
34,544,0.020881832
34,625,-0.023986904
34,713,0.020138435
34,725,0.02185116
34,759,-0.020935751
34,798,0.020441212
35,58,-0.020280797
35,87,0.023778353
35,99,-0.022113007
35,113,-0.02730128
35,132,-0.021896593
35,171,-0.02178385
35,185,0.024982134
35,226,0.023091065
35,338,0.025403844
35,379,0.024539517
35,479,-0.021463022
35,490,0.023254085
35,502,0.024749741
35,521,-0.02046122
35,625,0.027948283
36,17,0.026040396
36,131,-0.022289077
36,171,0.02139052
36,173,0.026517779
36,234,0.024495384
36,260,-0.021993246
36,315,-0.02041603
36,352,-0.020659965
36,485,-0.024023259
36,497,0.021021537
36,684,0.027358554
36,748,-0.027625704
37,184,-0.022544457
37,377,0.020241134
37,391,0.02633815
37,406,0.021408254
37,454,0.021516556
37,647,-0.020390587
38,22,0.022713644
38,82,-0.022856576
38,803,-0.021456024
39,15,0.020917023
39,297,-0.02614973
39,428,-0.023370096
39,492,-0.023932867
39,764,-0.022850206
40,47,0.020497434
40,350,0.02009561
41,32,-0.024388058
41,97,-0.02624362
41,357,-0.024451384
41,459,0.028560763
41,472,-0.020574138
41,672,0.028152006
41,706,0.022142597
41,709,-0.024537612
41,716,0.020661473
41,754,0.021722557
41,789,-0.024007889
42,41,-0.020136636
42,130,-0.020504046
42,193,0.02037648
42,204,0.030157633
42,303,0.020273054
42,326,-0.030970741
42,666,-0.027094567
43,28,0.024123944
43,69,0.022311166
43,260,-0.021692079
43,420,-0.023067098
43,502,-0.020700904
43,564,0.020814123
43,649,-0.023019077
43,651,-0.025372542
45,146,0.022287605
45,207,-0.027827334
45,212,0.024880547
45,437,-0.023615524
45,444,0.020011038
45,710,0.02446369
46,19,0.020256378
46,28,-0.021423697
46,53,-0.020296136
46,67,-0.025893794
46,114,-0.020964453
46,127,-0.025413157
46,150,0.020988634
46,154,-0.020272525
46,204,0.027372522
46,376,-0.021512067
46,447,0.032732356
46,576,0.02169033
46,582,0.020283628
46,584,-0.022404704
47,167,0.02292082
48,83,-0.020087417
48,261,-0.020472933
48,337,-0.021487918
48,372,0.024830382
48,669,-0.025483644
48,685,0.023465438
48,697,0.021447985
49,69,-0.020140016
49,334,-0.020744799
49,389,0.021447606
49,487,-0.022836823
49,567,-0.021963872
49,607,-0.020013379
49,613,0.02481445
49,649,0.029937068
50,309,-0.020804128
50,441,-0.025348913
50,475,0.022218736
50,804,-0.023602674
51,11,-0.02144311
51,101,0.025853546
51,117,-0.021966565
51,496,-0.020413635
