症状,草药
[262],"[475, 522, 654]"
[88],"[472, 474, 475, 522, 523, 719, 763, 792]"
[185],[653]
[14],"[109, 216]"
[188],[577]
"[151, 375]",[777]
[106],"[46, 441, 623]"
[377],"[148, 511]"
[266],"[501, 597, 605, 659]"
[369],"[179, 463, 568, 597, 659]"
[106],"[46, 441, 623]"
"[222, 276, 346]","[37, 46, 415, 472, 475, 478, 522, 557]"
[348],"[37, 46, 296, 434, 483, 596]"
[217],"[472, 588, 775]"
[369],"[472, 589, 654, 757]"
[367],"[654, 801]"
[348],"[563, 604]"
[348],"[517, 563, 705, 710]"
[348],"[517, 633, 677]"
[362],"[474, 654]"
[362],[784]
[10],"[563, 564]"
[349],"[518, 525, 659, 688, 769]"
[237],"[79, 96, 442, 449, 467, 477, 492, 503, 507, 637, 638, 718, 723, 745]"
[266],"[266, 490, 649, 655, 657, 659, 666]"
[330],"[404, 442, 477, 490, 494, 507, 508, 574, 605, 658, 729]"
[222],"[89, 402, 404, 494, 574, 640]"
"[120, 328]","[544, 545, 546, 548]"
[348],"[101, 427, 441, 442, 507, 516, 517, 597, 659, 677, 705]"
[348],"[517, 633, 677]"
[363],"[604, 666]"
[210],[479]
"[217, 367]","[216, 441, 626, 633, 659, 676, 699]"
"[241, 247, 259]","[269, 677, 688]"
"[253, 319, 330]","[404, 475, 563, 568]"
[367],"[349, 467, 651, 666, 729]"
[348],"[239, 276, 438, 445, 450, 546, 655, 666]"
[10],[523]
[306],[437]
[306],[437]
[306],[194]
[372],[422]
"[14, 376]",[423]
[246],[431]
[367],"[688, 692, 695, 699, 763, 777]"
[363],[605]
"[246, 353]","[442, 492, 605]"
[206],"[605, 626]"
[306],[194]
"[344, 352]","[255, 508, 511, 517, 640, 676, 677]"
"[286, 363]","[437, 438, 442, 508, 544, 545, 546, 605, 607, 609, 615, 705]"
[236],[507]
[247],"[84, 504]"
[387],"[49, 83, 208, 365, 478, 496, 520, 621, 646]"
"[246, 353]","[208, 478, 481, 490, 508, 520, 603, 611, 623, 646, 659, 665, 762, 775]"
"[286, 306]","[267, 423, 426, 430, 546, 575, 659, 666, 670, 677, 691]"
"[286, 306]","[34, 208, 434, 436, 438, 439, 441, 442, 478, 490, 492, 507, 508, 546, 637, 638, 655, 659, 666]"
"[344, 352]","[255, 508, 511, 517, 640, 676, 677]"
[88],"[464, 475, 522, 523, 631, 729]"
[241],"[197, 462, 490, 508, 718, 723, 784]"
[236],[507]
[247],"[84, 504]"
[325],"[201, 472, 474]"
[88],"[125, 379]"
[88],"[464, 475, 522, 523, 631, 729]"
[88],"[314, 464, 472, 475, 631, 654, 732, 748]"
[88],"[463, 464, 472, 490, 522, 523, 631, 729]"
[325],"[201, 472, 474]"
[325],"[472, 654, 775]"
[244],"[121, 425, 517, 546, 574, 659]"
[312],"[32, 517, 603, 705, 708, 730]"
[367],[777]
[88],"[103, 463, 464, 466, 472, 475, 522, 523, 563, 564, 568, 597, 654, 701, 792]"
"[29, 193, 222, 227, 306, 330, 367, 376]","[477, 666, 729, 745]"
[367],"[477, 490, 666, 729]"
"[246, 325]","[99, 464, 475]"
[244],[469]
[262],"[468, 472, 719]"
[325],"[427, 597, 607, 705]"
[369],"[209, 522, 563]"
[367],"[519, 546, 666, 699, 777]"
[367],[777]
[312],[711]
"[211, 369]","[65, 209, 475, 522, 557, 563, 564, 604, 711]"
[341],[582]
"[247, 269, 363]","[84, 442, 478, 490, 498, 507, 508, 544]"
"[147, 349]","[425, 442, 574, 659, 769]"
[364],"[70, 140, 196, 485]"
"[246, 306, 367]","[85, 568, 659]"
[306],"[197, 605, 606, 611]"
"[147, 193, 208, 299, 367, 389]","[46, 441, 463, 676, 699, 784]"
[188],"[503, 563, 566, 568, 659]"
"[113, 338]",[710]
"[82, 150]","[472, 659, 761]"
[354],"[490, 508, 546, 605, 606, 655, 666, 677]"
"[165, 337]","[103, 719, 729, 784]"
[330],"[50, 158, 404, 490, 508, 529, 604, 605, 718, 723, 729, 761]"
"[10, 242, 282, 338, 348, 389]","[99, 463, 475, 523, 555, 568, 589, 604, 654]"
[242],"[99, 200, 475, 522, 523, 566, 588, 677]"
[57],"[147, 427, 546, 560, 571, 651, 654, 659, 666]"
"[274, 369]","[37, 150, 194, 349, 415, 472, 475, 654, 730, 773]"
"[193, 299, 367]","[415, 475, 478, 490, 562, 792]"
[88],"[404, 478, 490, 522]"
[200],"[369, 429, 436, 437, 441, 475, 498, 522, 523, 699, 784]"
[88],"[404, 475, 478, 490, 496, 522, 523, 729]"
"[165, 212, 325]","[50, 472, 475, 478, 522, 589, 597, 729, 784]"
[88],"[404, 442, 472, 478, 490, 503, 508, 522, 523]"
[254],"[604, 638, 659]"
[185],[653]
[198],"[46, 48, 171, 427, 434, 517, 588, 589, 705, 710, 775]"
[325],"[472, 588, 705]"
[245],"[323, 516, 755]"
[14],[745]
[198],"[429, 574, 588, 589, 597, 659]"
[196],"[255, 275, 518, 649, 659, 666, 688]"
[348],"[427, 517, 597, 677, 708]"
[219],"[437, 441, 507, 574, 655, 699]"
[204],"[179, 429, 437, 441, 442, 507, 546, 655, 659]"
"[219, 321]",[553]
[328],"[525, 640, 691, 775]"
[290],"[548, 775]"
[320],"[212, 640, 763, 777]"
[363],"[468, 508]"
"[14, 236]","[196, 546]"
[262],"[504, 719, 746]"
[367],[441]
[80],"[516, 549]"
"[305, 363]","[574, 640]"
"[318, 348, 372]","[262, 575, 677, 683, 777]"
"[135, 254, 293, 306, 376]","[468, 604, 605, 611, 654]"
[215],"[103, 475, 654, 711]"
[14],"[423, 546, 628, 666]"
"[193, 371]","[109, 546, 688, 692]"
[367],"[286, 443, 444, 456, 546, 659, 688, 692, 695]"
"[315, 365, 367]","[275, 276]"
[306],"[441, 604]"
[175],"[125, 659]"
[219],"[437, 441, 507, 574, 655, 699]"
[389],[463]
[352],[546]
"[274, 290]","[577, 657, 801]"
[276],"[348, 423, 628]"
[336],"[285, 748]"
[375],[705]
[306],"[441, 604]"
[14],"[109, 216]"
[389],"[639, 757]"
[336],"[285, 748]"
[367],"[444, 446, 574, 699, 777, 799]"
[367],"[52, 444, 446, 516, 519, 659, 666, 699, 707, 710, 777]"
[367],"[441, 445, 593, 659, 699, 777]"
[367],[777]
