sym,herb,causal_effect
1,500,0.022969212
9,587,0.025289884
10,501,-0.023676578
14,132,0.020960812
15,269,-0.022865161
15,274,0.020301472
17,13,-0.021149222
20,801,-0.021400671
25,56,0.02055304
37,438,0.022008497
37,511,-0.020740459
37,521,0.026331443
39,691,0.023280727
41,551,0.023537446
42,170,-0.02725213
44,118,0.020608926
59,209,0.025688358
59,292,0.022707626
59,395,0.022184648
62,270,-0.02855258
63,290,-0.026131481
63,466,0.02424675
65,800,0.023407498
68,89,-0.02107174
69,93,-0.021272197
69,331,0.020073766
69,736,0.039499022
72,410,0.0201951
78,99,0.02088426
79,551,0.0212174
79,606,0.023427192
80,416,-0.021876246
80,620,0.023969429
81,343,0.029195944
85,634,-0.021782406
87,607,-0.023668863
90,763,-0.034364384
92,659,0.023261888
93,676,-0.021455674
100,724,-0.028420137
102,368,0.020954357
105,644,-0.023892952
107,84,0.02238627
108,332,0.021669159
108,504,-0.023103457
111,584,-0.023908606
112,429,-0.025251469
112,661,0.020118518
115,574,0.02510676
118,539,0.02557392
121,260,-0.027767815
121,386,-0.021553995
122,144,0.025875518
123,479,0.024208857
124,460,-0.032889538
126,488,0.021695968
128,152,0.023096126
129,46,0.026229648
129,564,-0.02088081
137,141,-0.024857255
139,514,0.020763496
143,688,0.02070784
144,551,-0.020783732
145,349,-0.020360345
145,563,0.026300685
148,675,-0.02188469
151,504,-0.0228853
152,359,0.022111615
152,566,0.020587832
153,179,0.021926614
163,359,-0.028740747
177,724,-0.021435276
178,577,0.02710822
178,789,-0.028938752
181,704,-0.020521324
184,555,-0.020191772
184,604,-0.024505923
185,384,-0.020178167
186,321,-0.021299327
188,17,-0.021401016
189,719,0.02111113
192,449,0.022229826
195,117,0.024605755
198,165,-0.020094935
198,361,-0.022598604
205,442,0.025089288
207,47,0.020056779
209,118,-0.02065463
209,738,0.023535382
211,112,-0.021310406
214,471,-0.021356722
222,132,0.024689179
222,416,-0.022037873
224,435,0.025794825
227,533,-0.023874879
228,501,-0.020732868
229,168,0.02425061
232,125,-0.022938523
238,296,-0.02326045
239,399,-0.020746594
239,721,0.026529241
240,63,-0.020511867
245,235,0.020105483
246,126,-0.020921633
248,502,-0.020684885
252,467,0.020229252
253,309,-0.02492676
258,170,0.02034393
259,532,-0.02072071
260,41,0.021031559
260,55,0.023237336
263,179,-0.025228623
263,604,-0.02177302
263,753,-0.024941362
267,207,-0.024623629
267,578,-0.025633274
272,134,0.02822783
272,202,0.021426536
277,384,0.022068098
278,270,-0.020337174
278,331,0.02658486
278,355,-0.02072197
287,472,-0.034696225
287,792,0.02088085
295,303,-0.025040256
295,495,-0.024424683
297,613,0.020752436
300,338,0.02430211
306,61,-0.022715533
306,86,-0.020362899
308,388,-0.023915736
308,507,0.020784205
311,84,-0.022280965
315,457,0.021747328
324,413,-0.021258298
326,78,-0.022132048
326,385,0.020647561
326,698,-0.023539372
328,448,-0.03135768
333,218,0.020154603
333,532,-0.02562413
333,552,-0.022545261
338,782,0.03380066
348,346,0.023457987
355,305,-0.023921387
357,634,0.020211998
358,313,-0.025128681
360,54,-0.024527969
364,70,0.029544916
364,89,-0.023478275
364,474,0.022365212
367,295,-0.02109734
371,411,-0.020010453
376,132,-0.026534954
376,500,-0.024640966
376,620,-0.020735111
377,317,-0.020316482
383,454,0.022714783
384,472,0.024287062
386,653,0.020557025
387,37,0.024794627
387,470,-0.022895971
387,507,0.02001965
387,578,0.020955518
388,82,-0.020204082
